route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,305,119458020,ALTON PARK,,302,1:03
1,58,119519070,ALTON PARK,,2707,1:03
1,58,119520070,ALTON PARK,,2807,1:03
1,58,119521070,ALTON PARK,,2707,1:03
1,58,119522070,ALTON PARK,,2807,1:03
1,58,119514070,ALTON PARK,,2307,1:03
1,58,119515070,ALTON PARK,,2807,1:03
1,58,119516070,ALTON PARK,,1707,1:03
1,58,119517070,ALTON PARK,,2707,1:03
1,58,119518070,ALTON PARK,,2807,1:03
1,58,119507070,ALTON PARK,,7307,1:03
1,58,119508070,ALTON PARK,,1907,1:03
1,58,119509070,ALTON PARK,,2407,1:03
1,58,119510070,ALTON PARK,,2307,1:03
1,58,119511070,ALTON PARK,,2207,1:03
1,58,119512070,ALTON PARK,,1907,1:03
1,64,119545010,ALTON PARK,,401,1:03
1,64,119546010,ALTON PARK,,601,1:03
1,64,119547010,ALTON PARK,,401,1:03
1,64,119548010,ALTON PARK,,601,1:03
1,64,119549010,ALTON PARK,,7501,1:03
1,305,119479020,ALTON PARK,,1102,1:03
1,305,119475020,ALTON PARK,,2102,1:03
1,305,119476020,ALTON PARK,,3102,1:03
1,305,119477020,ALTON PARK,,2102,1:03
1,64,119541010,ALTON PARK,,101,1:03
1,64,119543010,ALTON PARK,,401,1:03
1,64,119544010,ALTON PARK,,601,1:03
1,305,119469020,ALTON PARK,,302,1:03
1,305,119470020,ALTON PARK,,2102,1:03
1,305,119471020,ALTON PARK,,502,1:03
1,305,119472020,ALTON PARK,,3102,1:03
1,305,119473020,ALTON PARK,,2102,1:03
1,305,119474020,ALTON PARK,,3102,1:03
1,305,119462020,ALTON PARK,,2302,1:03
1,305,119463020,ALTON PARK,,2202,1:03
1,305,119464020,ALTON PARK,,302,1:03
1,305,119465020,ALTON PARK,,2702,1:03
1,305,119466020,ALTON PARK,,1902,1:03
1,305,119468020,ALTON PARK,,3002,1:03
1,305,119460020,ALTON PARK,,1902,1:03
1,305,119461020,ALTON PARK,,402,1:03
1,305,119414020,DOWNTOWN VIA HEALTH CENTER,,202,1:52
1,305,119416020,DOWNTOWN VIA HEALTH CENTER,,102,1:52
1,305,119419020,DOWNTOWN VIA HEALTH CENTER,,1202,1:52
1,305,119420020,DOWNTOWN VIA HEALTH CENTER,,702,1:52
1,58,119523070,DOWNTOWN,,2707,1:53
1,58,119524070,DOWNTOWN,,2807,1:53
1,58,119525070,DOWNTOWN,,2707,1:53
1,58,119526070,DOWNTOWN,,2807,1:53
1,58,119527070,DOWNTOWN,,2707,1:53
1,58,119529070,DOWNTOWN,,1707,1:53
1,305,119499020,DOWNTOWN,,2102,1:53
1,305,119500020,DOWNTOWN,,3102,1:53
1,305,119502020,DOWNTOWN,,402,1:53
1,305,119504020,DOWNTOWN,,502,1:53
1,305,119493020,DOWNTOWN,,302,1:53
1,305,119494020,DOWNTOWN,,2102,1:53
1,305,119495020,DOWNTOWN,,502,1:53
1,305,119496020,DOWNTOWN,,3102,1:53
1,305,119497020,DOWNTOWN,,2102,1:53
1,305,119498020,DOWNTOWN,,3102,1:53
1,305,119487020,DOWNTOWN,,2202,1:53
1,305,119488020,DOWNTOWN,,302,1:53
1,305,119489020,DOWNTOWN,,2702,1:53
1,305,119490020,DOWNTOWN,,1902,1:53
1,305,119491020,DOWNTOWN,,3102,1:53
1,305,119492020,DOWNTOWN,,3002,1:53
1,305,119481020,DOWNTOWN,,2202,1:53
1,305,119482020,DOWNTOWN,,302,1:53
1,305,119483020,DOWNTOWN,,2402,1:53
1,305,119484020,DOWNTOWN,,1902,1:53
1,305,119485020,DOWNTOWN,,402,1:53
1,305,119486020,DOWNTOWN,,2302,1:53
1,64,119552010,DOWNTOWN,,401,1:53
1,64,119553010,DOWNTOWN,,601,1:53
1,64,119554010,DOWNTOWN,,401,1:53
1,64,119555010,DOWNTOWN,,601,1:53
1,64,119556010,DOWNTOWN,,401,1:53
1,64,119557010,DOWNTOWN,,601,1:53
1,58,119537070,DOWNTOWN,,2707,1:53
1,58,119538070,DOWNTOWN,,2307,1:53
1,58,119539070,DOWNTOWN,,2807,1:53
1,58,119540070,DOWNTOWN,,1707,1:53
1,64,119550010,DOWNTOWN,,101,1:53
1,64,119551010,DOWNTOWN,,601,1:53
1,58,119530070,DOWNTOWN,,2907,1:53
1,58,119532070,DOWNTOWN,,1907,1:53
1,58,119533070,DOWNTOWN,,2407,1:53
1,58,119534070,DOWNTOWN,,2307,1:53
1,58,119535070,DOWNTOWN,,2207,1:53
1,58,119536070,DOWNTOWN,,1907,1:53
15,305,120056020,ST ELMO VIA INCLINE ,,2602,15:01
15,305,120044020,ST ELMO VIA INCLINE ,,1802,15:01
15,305,120045020,ST ELMO VIA INCLINE ,,1802,15:01
15,305,120046020,ST ELMO VIA INCLINE ,,1802,15:01
15,305,120053020,ST ELMO VIA INCLINE ,,2602,15:01
15,305,120054020,ST ELMO VIA INCLINE ,,2602,15:01
15,305,120055020,ST ELMO VIA INCLINE ,,2602,15:01
15,305,120042020,ST ELMO VIA INCLINE ,,1802,15:01
15,305,120043020,ST ELMO VIA INCLINE ,,1802,15:01
15,305,120057020,DOWNTOWN ,,1802,15:51
15,305,120058020,DOWNTOWN ,,1802,15:51
15,305,120059020,DOWNTOWN ,,1802,15:51
15,305,120060020,DOWNTOWN ,,1802,15:51
15,305,120061020,DOWNTOWN ,,1802,15:51
15,305,120068020,DOWNTOWN ,,2602,15:51
15,305,120069020,DOWNTOWN ,,2602,15:51
15,305,120070020,DOWNTOWN ,,2602,15:51
15,305,120071020,DOWNTOWN ,,2602,15:51
16,58,120156070,NORTHGATE,,1907,16:01
16,58,120157070,NORTHGATE,,10307,16:01
16,58,120158070,NORTHGATE,,10007,16:01
16,58,120159070,NORTHGATE,,10307,16:01
16,58,120164070,NORTHGATE,,11007,16:01
16,58,120165070,NORTHGATE,,10907,16:01
16,305,121988020,NORTHGATE,,11002,16:01
16,305,121989020,NORTHGATE,,10902,16:01
16,305,122046020,NORTHGATE,,10602,16:01
16,305,122050020,NORTHGATE,,10602,16:01
16,305,122054020,NORTHGATE,,10502,16:01
16,305,122062020,NORTHGATE,,10902,16:01
16,305,122042020,NORTHGATE,,10602,16:01
16,64,120202010,NORTHGATE,,101,16:01
16,64,120208010,NORTHGATE,,7101,16:01
16,305,121979020,NORTHGATE,,10802,16:01
16,305,121983020,NORTHGATE,,11002,16:01
16,305,121987020,NORTHGATE,,11002,16:01
16,305,122066020,NORTHGATE,,10902,16:01
16,305,122069020,NORTHGATE,,10402,16:01
16,58,122124070,NORTHGATE,,10107,16:01
16,58,120178070,NORTHGATE,,10107,16:01
16,305,121971020,NORTHGATE,,10002,16:01
16,305,121975020,NORTHGATE,,10002,16:01
16,58,120175070,NORTHGATE,,10107,16:01
16,58,120176070,NORTHGATE,,10307,16:01
16,58,120177070,NORTHGATE,,10007,16:01
16,305,122002020,NORTHGATE,,10702,16:01
16,305,122006020,NORTHGATE,,10702,16:01
16,305,122010020,NORTHGATE,,10702,16:01
16,58,120166070,NORTHGATE,,11107,16:01
16,58,120167070,NORTHGATE,,11007,16:01
16,58,120168070,NORTHGATE,,10807,16:01
16,58,120169070,NORTHGATE,,10807,16:01
16,58,120170070,NORTHGATE,,10807,16:01
16,58,120174070,NORTHGATE,,10007,16:01
19,305,122119020,CROMWELL,,3302,19:01
19,305,122121020,CROMWELL,,3502,19:01
19,305,120221020,CROMWELL,,3202,19:01
19,305,120222020,CROMWELL,,3202,19:01
19,305,120223020,CROMWELL,,3402,19:01
19,305,120224020,CROMWELL,,3602,19:01
19,305,120225020,CROMWELL,,3602,19:01
19,305,120226020,CROMWELL,,3302,19:01
2,305,120256020,NORTH CHATTANOOGA,,3702,2:01
2,305,122019020,NORTH CHATTANOOGA,,3802,2:01
2,305,122020020,NORTH CHATTANOOGA,,3802,2:01
2,305,122021020,NORTH CHATTANOOGA,,3802,2:01
2,305,122022020,NORTH CHATTANOOGA,,3802,2:01
2,305,122023020,NORTH CHATTANOOGA,,3802,2:01
2,305,122038020,NORTH CHATTANOOGA,,4102,2:01
2,305,122039020,NORTH CHATTANOOGA,,4102,2:01
2,305,120234020,NORTH CHATTANOOGA,,3702,2:01
2,305,122030020,NORTH CHATTANOOGA,,3902,2:01
2,305,122031020,NORTH CHATTANOOGA,,3902,2:01
2,305,122032020,NORTH CHATTANOOGA,,3902,2:01
2,305,122033020,NORTH CHATTANOOGA,,3902,2:01
2,305,122034020,NORTH CHATTANOOGA,,3902,2:01
