shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1:01,34.99213,-85.31788,56000012,
1:01,34.99230,-85.31776,56000010,
1:01,34.99245,-85.31770,56000008,
1:01,34.99260,-85.31762,55000022,
1:01,34.99264,-85.31761,55000018,
1:01,34.99280,-85.31751,55000015,
1:01,34.99296,-85.31741,55000013,
1:01,34.99313,-85.31733,55000011,
1:01,34.99328,-85.31726,55000009,
1:01,34.99344,-85.31716,54000024,
1:01,34.99355,-85.31710,54000018,
1:01,34.99369,-85.31702,54000016,
1:01,34.99386,-85.31694,54000014,
1:01,34.99404,-85.31683,54000012,
1:01,34.99423,-85.31670,54000010,
1:01,34.99440,-85.31662,54000008,
1:01,34.99459,-85.31652,53000052,
1:01,34.99463,-85.31649,53000047,
1:01,34.99478,-85.31641,53000044,
1:01,34.99491,-85.31635,53000042,
1:01,34.99507,-85.31624,53000040,
1:01,34.99522,-85.31616,53000038,
1:01,34.99539,-85.31606,53000035,
1:01,34.99555,-85.31597,53000031,
1:01,34.99572,-85.31589,53000028,
1:01,34.99587,-85.31581,53000026,
1:01,34.99603,-85.31571,53000024,
1:01,34.99619,-85.31564,53000022,
1:01,34.99634,-85.31556,53000020,
1:01,34.99654,-85.31543,53000018,
1:01,34.99676,-85.31532,53000016,
1:01,34.99697,-85.31519,53000014,
1:01,34.99717,-85.31509,53000012,
1:01,34.99735,-85.31500,53000010,
1:01,34.99749,-85.31492,53000008,
1:01,34.99761,-85.31484,52000036,
1:01,34.99770,-85.31479,52000030,
1:01,34.99782,-85.31471,52000028,
1:01,34.99799,-85.31463,52000026,
1:01,34.99817,-85.31454,52000024,
1:01,34.99838,-85.31441,52000022,
1:01,34.99859,-85.31431,52000020,
1:01,34.99882,-85.31420,52000018,
1:01,34.99905,-85.31408,52000016,
1:01,34.99929,-85.31393,52000014,
1:01,34.99952,-85.31382,52000012,
1:01,34.99971,-85.31373,52000010,
1:01,34.99985,-85.31365,52000008,
